hostname,socks5_hostname,socks5_endpoint,city,country,provider,ipv4,ipv6
gb-mnc-wg-008,gb-mnc-wg-socks5-008,gb-mnc-wg-socks5-008.relays.mullvad.net:1080,Manchester,UK,M247,146.70.133.66,2001:ac8:8b:2c::f001
gb-mnc-wg-009,gb-mnc-wg-socks5-009,gb-mnc-wg-socks5-009.relays.mullvad.net:1080,Manchester,UK,M247,146.70.132.98,2001:ac8:8b:25::f001
ua-iev-wg-001,ua-iev-wg-socks5-001,ua-iev-wg-socks5-001.relays.mullvad.net:1080,Kyiv,Ukraine,DataPacket,149.102.240.79,2a02:6ea0:e109:2::a01f
ua-iev-wg-002,ua-iev-wg-socks5-002,ua-iev-wg-socks5-002.relays.mullvad.net:1080,Kyiv,Ukraine,DataPacket,149.102.240.66,2a02:6ea0:e109:1::a02f
us-qas-wg-101,us-qas-wg-socks5-101,us-qas-wg-socks5-101.relays.mullvad.net:1080,"Ashburn, VA",USA,DataPacket,185.156.46.130,2a02:6ea0:e206:1::a01f
us-qas-wg-102,us-qas-wg-socks5-102,us-qas-wg-socks5-102.relays.mullvad.net:1080,"Ashburn, VA",USA,DataPacket,185.156.46.143,2a02:6ea0:e206:2::a02f
us-qas-wg-103,us-qas-wg-socks5-103,us-qas-wg-socks5-103.relays.mullvad.net:1080,"Ashburn, VA",USA,DataPacket,185.156.46.156,2a02:6ea0:e206:3::a03f
us-qas-wg-201,us-qas-wg-socks5-201,us-qas-wg-socks5-201.relays.mullvad.net:1080,"Ashburn, VA",USA,HostRoyale,103.81.230.3,2a01:4740:1::f001
us-qas-wg-203,us-qas-wg-socks5-203,us-qas-wg-socks5-203.relays.mullvad.net:1080,"Ashburn, VA",USA,HostRoyale,103.81.231.3,2a01:4740:1::f201
us-qas-wg-204,us-qas-wg-socks5-204,us-qas-wg-socks5-204.relays.mullvad.net:1080,"Ashburn, VA",USA,HostRoyale,103.81.231.127,2a01:4740:1::f301
us-atl-wg-301,us-atl-wg-socks5-301,us-atl-wg-socks5-301.relays.mullvad.net:1080,"Atlanta, GA",USA,100TB,67.213.209.116,2606:2e00:8000:4::f001
us-atl-wg-302,us-atl-wg-socks5-302,us-atl-wg-socks5-302.relays.mullvad.net:1080,"Atlanta, GA",USA,100TB,67.213.209.117,2606:2e00:8000:4::f101
us-atl-wg-303,us-atl-wg-socks5-303,us-atl-wg-socks5-303.relays.mullvad.net:1080,"Atlanta, GA",USA,100TB,67.213.209.118,2606:2e00:8000:4::f201
us-atl-wg-304,us-atl-wg-socks5-304,us-atl-wg-socks5-304.relays.mullvad.net:1080,"Atlanta, GA",USA,100TB,67.213.209.119,2606:2e00:8000:4::f301
us-atl-wg-305,us-atl-wg-socks5-305,us-atl-wg-socks5-305.relays.mullvad.net:1080,"Atlanta, GA",USA,100TB,67.213.209.120,2606:2e00:8000:4::f401
us-atl-wg-306,us-atl-wg-socks5-306,us-atl-wg-socks5-306.relays.mullvad.net:1080,"Atlanta, GA",USA,100TB,67.213.209.121,2606:2e00:8000:4::f501
us-atl-wg-401,us-atl-wg-socks5-401,us-atl-wg-socks5-401.relays.mullvad.net:1080,"Atlanta, GA",USA,Tzulo,23.234.108.3,2607:9000:c00:31::f001
us-atl-wg-402,us-atl-wg-socks5-402,us-atl-wg-socks5-402.relays.mullvad.net:1080,"Atlanta, GA",USA,Tzulo,23.234.108.127,2607:9000:c00:32::f001
us-atl-wg-403,us-atl-wg-socks5-403,us-atl-wg-socks5-403.relays.mullvad.net:1080,"Atlanta, GA",USA,Tzulo,23.234.109.3,2607:9000:c00:33::f001
us-atl-wg-404,us-atl-wg-socks5-404,us-atl-wg-socks5-404.relays.mullvad.net:1080,"Atlanta, GA",USA,Tzulo,23.234.109.127,2607:9000:c00:34::f001
us-atl-wg-405,us-atl-wg-socks5-405,us-atl-wg-socks5-405.relays.mullvad.net:1080,"Atlanta, GA",USA,Tzulo,23.234.110.3,2607:9000:c00:35::f001
us-atl-wg-406,us-atl-wg-socks5-406,us-atl-wg-socks5-406.relays.mullvad.net:1080,"Atlanta, GA",USA,Tzulo,23.234.110.127,2607:9000:c00:36::f001
us-atl-wg-407,us-atl-wg-socks5-407,us-atl-wg-socks5-407.relays.mullvad.net:1080,"Atlanta, GA",USA,Tzulo,23.234.111.3,2607:9000:c00:37::f001
us-atl-wg-408,us-atl-wg-socks5-408,us-atl-wg-socks5-408.relays.mullvad.net:1080,"Atlanta, GA",USA,Tzulo,23.234.111.127,2607:9000:c00:38::f001
us-bos-wg-001,us-bos-wg-socks5-001,us-bos-wg-socks5-001.relays.mullvad.net:1080,"Boston, MA",USA,HostRoyale,43.225.189.131,2a06:3040:12:610::a01f
us-bos-wg-101,us-bos-wg-socks5-101,us-bos-wg-socks5-101.relays.mullvad.net:1080,"Boston, MA",USA,DataPacket,149.40.50.98,2a02:6ea0:f901::a01f
us-bos-wg-102,us-bos-wg-socks5-102,us-bos-wg-socks5-102.relays.mullvad.net:1080,"Boston, MA",USA,DataPacket,149.40.50.112,2a02:6ea0:f901:1::a02f
us-chi-wg-201,us-chi-wg-socks5-201,us-chi-wg-socks5-201.relays.mullvad.net:1080,"Chicago, IL",USA,DataPacket,87.249.134.1,2a02:6ea0:c61f::b63f
